ساختمان داده در مهندسی برق,8101139,1,3,دکتر کمال,30584,16123,,16-17.5,,16-17.5,,,96/11/02 صبح,شبيه سازی شئی گرای سیستمهای الکترونيکی,30
آزمايشگاه تجهيزات پزشكي ,8101986,1,1,دکتر حسین زاده,26169,16072,,,,,13-15.5,,,مقدمه اي بر مهندسي پزشكي,6
تجهيزات عمومی بيمارستان ها,8101709,1,3,دکتر آخوندی,,18338,,10.5-12,,10.5-12,,,96/11/03 صبح,٭ فیزیولوژی (1),30
مديريت اطلاعات پزشكي,8101984,1,3,دكتر ظروفي,,16064,16-17.5,,16-17.5,,,,96/11/05 صبح,٭ مقدمه اي بر مهندسي پزشكي,30
اصول سيستمهای راديولوژی,8101707,1,3,دکتر سلطانیان زاده,21705,16034,,9-10.5,,9-10.5,,,96/10/28 صبح,فيزيک (1) و (2) + *فيزيولوژی (1) + مقدمه ای بر فيزيک پزشکی,30
آزمايشگاه مدارهاي مخابراتي,8101044,1,1,دكتر كمره‌ اي,23223,16042,,,,9-12,,,,٭مدار مخابراتي,10
آزمايشگاه مدارهاي مخابراتي,8101044,2,1,دكتر كمره‌ اي,23223,16042,,,,13-16,,,,٭مدار مخابراتي,10
آزمايشگاه مدارهاي مخابراتي,8101044,3,1,دكتر كمره‌ اي,23223,16042,,,,16-19,,,,٭مدار مخابراتي,10
آزمايشگاه راديو نرم‌افزار,8101705,1,1,دكتر شاه منصوری,30090,16119,,,13-16,,,,,مخابرات (2),12
آزمایشگاه مایکروویو,8101041,1,1,دکتر راشدمحصل,24220,16052,17.5-20,,,,,,,٭مایکروویو (1),16
آزمایشگاه مخابرات دیجیتال,8101141,1,1,دکتر الفت,26871,16081,,,,,9-12,,,,10
آنتن (1),8101103,1,3,دکتر یوسفی,29986,16112,9-10.5,,9-10.5,,,,96/10/24 صبح,ميدان ها و امواج,50
مايكروويو (1),8101328,1,3,دكتر كمره‌اي,23223,16042,7.5-9,,7.5-9,,,,96/11/02 صبح,ميدان ها و امواج,50
مخابرات (2),8101355,1,3,دکتر ربیعی,28667,16101,,10.5-12,,10.5-12,,,96/10/30 عصر,مخابرات (1) + * الكترونيك (3),50
مدارهاي مخابراتي,8101366,1,3,دكتر كمره‌اي,23223,16042,10.5-12,,10.5-12,,,,96/11/05 صبح,مخابرات (1) + * الكترونيك (3),50
ميدان ها و امواج,8101389,1,3,دکتر دهملائیان,28159,16097,10.5-12,,10.5-12,,,,96/10/24 صبح,الکترومغناطيس,50
پردازش سیگنال های دیجیتال,8101125,1,3,دکتر اخائی,28868,16107,16-17.5,,16-17.5,,,,96/10/26 صبح,,40
آزمايشگاه سيستم هاي كنترل خطي,8101012,1,1,دكتر عباسیان,28693,16102,13-16,,,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,2,1,دكتر بهرامی,22359,16037,16-19,,,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,3,1,دكتر عباسیان,28693,16102,,13-16,,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,4,1,دكتر بهرامی,22359,16037,,16-19,,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,5,1,دكتر عباسیان,28693,16102,,,13-16,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,6,1,دكتر بهرامی,22359,16037,,,16-19,,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,7,1,دكتر عباسیان,28693,16102,,,,13-16,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,8,1,دكتر بهرامی,22359,16037,,,,16-19,,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,9,1,دكتر عباسیان,28693,16102,,,,,13-16,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
آزمايشگاه سيستم هاي كنترل خطي,8101012,10,1,دكتر بهرامی,22359,16037,,,,,16-19,,,آز مدار و اندازه‌گيري + سیستم كنترل‌خطي,12
تحقيق در عمليات ,8101145,1,3,دکتر حسینی,30514,16122,16-17.5,,16-17.5,,,,96/10/24 عصر,مباني كامپيوتر و برنامه سازي,50
جبر خطی,8101174,1,3,دکتر قزلباش,,18339,14-15.5,,14-15.5,,,,96/10/27 عصر,ریاضی (2),40
كنترل صنعتي,8101309,2,3,دکتر کلهر,326550,18284,14-15.5,,14-15.5,,,,96/11/05 صبح,سیستمهای كنترل خطي,30
سيستم های كنترل پيشرفته,8101447,1,3,دکتر شعربافی,30663,18249,,14-15.5,,14-15.5,,,96/11/03 عصر,جبر خطي,40
آزمايشگاه ماشين هاي الكتريكي (1),8101016,1,1,دكتر لساني,23254,16044,,10.5-13,,,,,,٭ ماشين الكتريكي (2)- ماشين الكتريكي(1),15
آزمايشگاه ماشين هاي الكتريكي (1),8101016,2,1,دكتر لساني,23254,16044,,13-15.5,,,,,,٭ ماشين الكتريكي (2)- ماشين الكتريكي(1),15
آزمايشگاه ماشين هاي الكتريكي (1),8101016,3,1,دكتر لساني,23254,16044,,,,10.5-13,,,,٭ ماشين الكتريكي (2)- ماشين الكتريكي(1),15
آزمايشگاه ماشين هاي الكتريكي (1),8101016,4,1,دكتر لساني,23254,16044,,,,13-15.5,,,,٭ ماشين الكتريكي (2)- ماشين الكتريكي(1),15
آزمايشگاه ماشين هاي الكتريكي (2),8101017,1,1,دكتر لساني,23254,16044,,,,,8-11,,,آز ماشين (1) + ماشين هاي الكتريكي (2),15
آزمايشگاه الكترونيك صنعتي,8101021,1,1,دكتر فرهنگي,16756,16027,,,,,9-12,,,الكترونيك صنعتي + آز الكترونيك (1),12
آز عايق و فشار قوي,8101036,1,1,دكتر محسني,16863,16028,,,14-16،5,,,,,٭ عايقها و فشار قوي,12
آز عايق و فشار قوي,8101036,2,1,دكتر محسني,16863,16028,,,,"16,5-19",,,,٭ عايقها و فشار قوي,12
آزمايشگاه بررسي سیستم های قدرت,8101485,1,1,دكتر افشارنيا,24498,16054,17.5-20,,,,,,,٭بررسی سیستم های قدرت (2),20
آزمایشگاه روشنائی فنی,8101401,1,1,دکتر شایگانی ,26910,16083,,17.5-20,,,,,,٭روشنایی فنی,10
كارگاه برق,8101303,1,1,دكتر داورپناه/ دکتر محسنی,16863,16028,13-15.5,,,,,,,,16
كارگاه برق,8101303,2,1,دكتر داورپناه/ دکتر محسنی,16863,16028,15.5-18,,,,,,,,16
كارگاه برق,8101303,3,1,دكتر داورپناه/ دکتر محسنی,16863,16028,,,13-15.5,,,,,,16
كارگاه برق,8101303,4,1,دكتر داورپناه/ دکتر محسنی,16863,16028,,,15.5-18,,,,,,16
الكترونيك صنعتي,8101078,1,3,دكتر آسایی,26962,16085,,7.5-9,,7.5-9,,,96/11/01 صبح,الكترونيك (2),50
عایق ها و فشار قوی,8101268,1,3,دکتر صمیمی, ,18308,,"10,5-12",,"10,5-12",, فشارقوی,96/11/03 صبح,,30
رله و حفاظت,8101200,1,3,دكتر صنایع پسند,25435,16060,10.5-12,,10.5-12,,,,96/11/05 صبح,٭بررسی سیستم های قدرت (2),30
طراحی خطوط و انتقال انرژی,8101260,1,3,دکتر داورپناه,30228,16120,,16-17.5,,16-17.5,,,96/10/23 عصر,بررسی سیستم های قدرت (1),30
