آزمايشگاه سيستم عامل, , مهندس نورعلیرزاده, احمد نورعلیرزاده خرمی, , 16132
آزمايشگاه سيستم عامل, , مهندس نورعلیرزاده, احمد نورعلیرزاده خرمی, , 16132
آزمايشگاه شبكه كامپيوتري, , دكتر خونساري, احمد خونساری, 26868, 16080
آزمايشگاه شبكه كامپيوتري, , دكتر خونساري, احمد خونساری, 26868, 16080
انتقال داده, , دكتر خونساري, احمد خونساری, 26868, 16080
شيوه ارائه مطالب علمی و فنی, , دكتر تقی یاره, فتانه تقی یاره, 25821, 16071
شيوه ارائه مطالب علمی و فنی, , دکتر محمدی, سیامک محمدی, 26847, 16079
هوش مصنوعي, , دكتر مرادی, منوچهر مرادی سبزوار, 27954, 16095
شبكه هاي كامپيوتري, , دكتر خونساری, احمد خونساری, 26868, 16080
طراحي الگوريتم, , دکتر مهینی, حمید مهینی, , 18267
نظريه زبان ها و ماشين ها, , مهندس فدایی, حکیمه فدائی, 394917, 18283
پايگاه داده ها, , دكتر شاکری, آزاده شاکری, 28067, 16096
طراحي زبانهاي برنامه سازي, , مهندس علی دوست نیا, سیدعلیرضا صدر السادات, 30715, 16125
مهندسي نرم افزار, , دكتر خسروی, رامتین خسروی, 27860, 16090
طراحی واسط کاربر, , دکتر رهگذر, مسعود رهگذر, 25622, 16066
مبانی امنیت شبکه های کامپيوتری, , دکتر بهرک, بهنام بهرک, 394392, 18306
آزمون نرم افزار, , دکتر خامس پناه, احسان خامس پناه, 390834, 18255
روش های رسمی در مهندسی نرم افزار, , دکتر فقیه, دکتر فقیه, 396120, 16367
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه  مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه مدارهاي منطقي, , دكتر نوابي, زین العابدین نوابی شیرازی, 23677, 16046
آزمايشگاه ميكروپروسسور يا ريزپردازنده, , دكتر فاطمي, امید فاطمی, 25818, 16070
آزمايشگاه ميكروپروسسور يا ريزپردازنده, , دكتر فاطمي, امید فاطمی, 25818, 16070
آزمايشگاه ميكروپروسسور يا ريزپردازنده, , دكتر فاطمي, امید فاطمی, 25818, 16070
آزمايشگاه ميكروپروسسور يا ريزپردازنده, , دكتر فاطمي, امید فاطمی, 25818, 16070
آزمايشگاه معماري كامپيوتر, , دكتر صفري, سعید صفری, 26932, 16084
آزمايشگاه معماري كامپيوتر, , دكتر صفري, سعید صفری, 26932, 16084
آزمايشگاه معماري كامپيوتر  غیرفعال, , دكتر صفري, سعید صفری, 26932, 16084
آزمایشگاه مدارهای الکترونیکی (سخت افزار), , دکتر سنائی, زینب سنائی, 28902, 16108
كارگاه كامپيوتر, , مهندس حسینی, سیدعلیرضا حسینی, , 16135
كارگاه كامپيوتر, , مهندس حسینی, سیدعلیرضا حسینی, , 16135
ريزپردازنده (میکروپروسسور), , دکتر فاطمی, امید فاطمی, 25818, 16070
الکترونيک دیجیتال, , دکتر کمال, مهدی کمال, 30584, 16123
طراحی به کمک کامپيوتر CAD, , دکتر مدرسی, مهدی مدرسی, 29929, 16111
طراحی به کمک کامپيوتر CAD, , دکتر صالحی, مصطفی ارسالی صالحی نسب, 29991, 16114
نمونه سازی سریع سیستم های کامپيوتری, , دکتر صالحی, مصطفی ارسالی صالحی نسب, 29991, 16114
برنامه سازی موازی, , دکتر صفری, سعید صفری, 26932, 16084
آزمايشگاه فناوري اطلاعات, , دکتر تقی یاره, فتانه تقی یاره, 25821, 16071
آزمايشگاه مولتي مديا, , دكتر هاشمي, محمود رضا هاشمی, 26909, 16082
اقتصاد مهندسی, , مهندس آزادنيا, محمد آزادنیا, 326215, 18251
اقتصاد مهندسی, , مهندس عراقچی, سید احمد عراقچی, , 16143
مباني كار آفريني, , دکتر زعفریان, رضا زعفریان, 309990, 18276
یادگیری الکترونیکی, , مهندس خراط, محمود خراط, , 16136
اصول و مبانی مدیریت, , دکتر ابویی,  دکتر ابویی, , 18340
